"LANGUAGE","English","Language name (in native language)."
"MOD_NAME","Visibility Control","Mod name in native language - used for status tooltip."
"MOD_DESCRIPTION","Shader, LOD distance, and other visual controls","Mod description, visibile in content manager."
"OPTIONS_GENERAL","General","Options tab title."
"OPTIONS_TRANSPARENCY","Transparent LOD fix","Options tab title."
"OPTIONS_ULOD","LOD distance","Options tab title."
"OPTIONS_BUILDINGS","Buildings","Options panel group title."
"OPTIONS_PROPS","Props","Options panel group title."
"OPTIONS_TREES","Trees","Options panel group title."
"OPTIONS_NETS","Networks","Options panel group title."
"OPTIONS_VEHICLES","Vehicles","Options panel group title."
"OPTIONS_CITIZENS","Citizens","Options panel group title."
"MAX_DISTANCE","Maximum visibility distance","Slider in options panel."
"MAX_DISTANCE_TIP","This is the maximum range at which these items will be visible.","Slider tooltop in options panel."
"FALLBACK_DISTANCE","Fallback maximum visibility distance","Slider in options panel."
"FALLBACK_DISTANCE_TIP","This is the maximum visibility distance that will be used if a dynamic distance cannot be calculated.","Slider tooltop in options panel."
"MIN_DISTANCE","Minimum visibility distance","Slider in options panel."
"MIN_DISTANCE_TIP","Everything will be visible within this distance, regardless of size.","Slider tooltop in options panel."
"DISTANCE_MULT","Distance multiplier","Slider in options panel."
"DISTANCE_MULT_TIP","Modifies the calculated visibility range - higher values mean greater visibility.","Slider tooltop in options panel."
"DECAL_DISTANCE","Decal fade distance","Slider in options panel."
"DECAL_DISTANCE_TIP","Sets the distance at which decals will fade into the background.","Slider tooltop in options panel."
"LOD_TRANSITION","LOD transition distance","Slider in options panel."
"LOD_TRANSITION_TIP","The model will transition from normal to LOD at this percentage of the maximum visibility distance.","Slider tooltop in options panel."
"LOD_TRANSITION_ABS_TIP","The model will transition from normal to LOD at this distance.","Slider tooltop in options panel."
"TREE_DISTANCE","Tree LOD distance","Slider in options panel."
"RESET_DEFAULT","Reset to defaults","Options panel button text."
"HOTKEYS","Hotkeys","Options panel group title."
"KEY_SCREENSHOT","Toggle screenshot mode (highest detail)","Options panel key setting text."
"KEY_LOD","Toggle LOD mode (lowest detail)","Options panel key setting text."
"KEY_VANILLA","Toggle vanilla mode (game defaults)","Options panel key setting text."
"MODE_NORMAL","Normal mode (mod settings)","Status tooltip text."
"MODE_SCREENSHOT","Screenshot (highest detail) mode","Status tooltip text."
"MODE_LOD","LOD mode (lowest detail)","Status tooltip text."
"MODE_VANILLA","Vanilla mode (game defaults)","Status tooltip text."
"TO_DISABLE","To disable:","Status tooltip text."
